timestamp,Murder,Rape,Kidnapping,Speeding,Domestic Violence,Robbery,latitude,longitude
28-02-2018 21:00,1,0,0,0,0,0,17.360589,78.4740613
28-02-2018 21:15,1,0,0,0,0,0,30.9090157,75.851601
28-02-2018 10:15,0,0,1,0,0,0,30.9090157,75.851601
28-02-2018 10:15,0,0,1,0,0,0,28.09734515,77.05085582
28-02-2018 10:30,0,0,1,0,0,0,19.0759899,72.8773928
28-02-2018 14:15,0,0,0,1,0,0,30.9090157,75.851601
28-02-2018 08:00,0,0,0,0,1,0,28.9010899,76.5801935
28-02-2018 03:30,0,0,0,1,0,0,28.6517178,77.2219388
28-02-2018 01:30,1,0,0,0,0,0,32.7930562,74.2409876
28-02-2018 19:00,0,0,0,1,0,0,26.57550365,80.61376178
28-02-2018 14:10,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 14:25,0,0,0,1,0,0,41.8523094,1.5745043
28-02-2018 22:00,0,1,0,0,0,0,32.7185614,74.8580917
28-02-2018 22:00,0,0,0,1,0,0,30.3843674,76.770421
28-02-2018 22:10,0,0,0,1,0,0,17.7255921,75.30019363
28-02-2018 12:00,1,0,0,0,0,0,41.8523094,1.5745043
28-02-2018 13:30,0,0,0,0,1,0,10.67047305,77.00991259
28-02-2018 03:00,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 23:50,0,0,0,1,0,0,22.2471009,68.9742446
28-02-2018 19:00,1,0,0,0,0,0,35.000074,104.999927
28-02-2018 11:55,0,0,1,0,0,0,30.7047049,76.7178146
28-02-2018 11:00,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 18:00,0,0,1,0,0,0,52.2928116,-3.73893
28-02-2018 01:00,0,0,0,1,0,0,52.2928116,-3.73893
28-02-2018 00:00,1,0,0,0,0,0,18.521428,73.8544541
28-02-2018 22:10,0,0,1,0,0,0,19.0759899,72.8773928
28-02-2018 22:30,0,1,0,0,0,0,30.2112003,77.28638972
28-02-2018 08:40,0,0,1,0,0,0,18.521428,73.8544541
28-02-2018 15:40,0,0,0,1,0,0,28.5707841,77.3271074
28-02-2018 15:50,0,0,0,1,0,0,28.5707841,77.3271074
28-02-2018 00:00,1,0,0,0,0,0,27.57324325,78.11173867
28-02-2018 15:00,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 15:30,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 19:05,0,0,0,1,0,0,33.89829355,74.89634094
28-02-2018 19:25,0,0,0,1,0,0,30.7334421,76.7797143
28-02-2018 19:50,0,0,0,1,0,0,18.521428,73.8544541
28-02-2018 19:20,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 13:00,0,0,0,1,0,0,19.0759899,72.8773928
28-02-2018 16:00,0,0,0,1,0,0,28.5707841,77.3271074
